TransactionID,CustomerID,Age,Gender,Income,ProductCategory,Product,Quantity,Price,TotalAmount,PaymentMethod,StoreLocation,PurchaseDate,DayOfWeek,TimeOfDay,Promotion,Returned
1,1654,25,Male,66048,Grocery,Bread,2,369.55,739.1,Cash,North,2024-10-29,Tuesday,Afternoon,Yes,No
2,1095,31,Male,96237,Sports,Football,5,103.42,517.1,Cash,West,2024-04-22,Monday,Afternoon,No,Yes
3,1828,18,Male,85392,Clothing,Jeans,2,111.58,223.16,Debit Card,North,2024-02-17,Saturday,Afternoon,Yes,No
4,1867,40,Female,35695,Home,Lamp,1,486.69,486.69,Debit Card,North,2024-10-09,Wednesday,Afternoon,No,Yes
5,1591,30,Male,36006,Grocery,Eggs,1,428.38,428.38,Credit Card,West,2024-05-22,Wednesday,Afternoon,No,Yes
6,1166,41,Female,57460,Clothing,Jacket,1,306.52,306.52,Credit Card,South,2024-03-24,Sunday,Afternoon,No,Yes
7,1276,58,Male,119733,Clothing,Shirt,2,411.79,823.58,Debit Card,West,2024-05-17,Friday,Morning,Yes,Yes
8,1897,63,Female,57869,Home,Table,4,75.72,302.88,Credit Card,South,2024-10-14,Monday,Evening,No,Yes
9,1764,55,Female,106484,Home,Table,2,498.68,997.36,Credit Card,West,2024-02-16,Friday,Morning,Yes,No
10,1642,28,Female,108172,Electronics,Tablet,4,299.96,1199.84,Debit Card,East,2024-10-10,Thursday,Morning,Yes,Yes
11,1906,52,Female,114012,Clothing,Shirt,3,220.21,660.63,Debit Card,North,2024-05-14,Tuesday,Evening,Yes,Yes
12,1934,24,Female,113748,Sports,Tennis Racket,2,80.66,161.32,Credit Card,North,2024-11-02,Saturday,Afternoon,No,No
13,1114,41,Female,61385,Electronics,Phone,5,473.74,2368.7,Credit Card,West,2024-02-05,Monday,Evening,Yes,No
14,1675,48,Male,64741,Sports,Tennis Racket,4,482.36,1929.44,Cash,South,2024-12-31,Tuesday,Afternoon,No,Yes
15,1687,59,Female,87422,Sports,Basketball,1,127.71,127.71,Credit Card,East,2024-01-11,Thursday,Evening,Yes,Yes
16,1225,18,Male,112719,Electronics,Phone,1,453.18,453.18,Debit Card,North,2024-09-20,Friday,Morning,No,Yes
17,1685,49,Male,100678,Grocery,Cheese,2,393.39,786.78,Debit Card,South,2024-02-18,Sunday,Morning,No,Yes
18,1362,45,Female,91213,Electronics,Laptop,1,204.3,204.3,Debit Card,North,2024-05-07,Tuesday,Morning,Yes,Yes
19,1459,26,Female,54050,Clothing,Jeans,2,437.87,875.74,Credit Card,West,2024-10-08,Tuesday,Morning,Yes,Yes
20,1553,18,Male,60982,Grocery,Cheese,4,243.27,973.08,Debit Card,North,2024-03-25,Monday,Afternoon,Yes,No
21,1271,68,Female,67388,Home,Lamp,5,332.63,1663.15,Debit Card,South,2024-04-07,Sunday,Afternoon,Yes,No
22,1593,65,Male,71104,Electronics,Laptop,5,241.01,1205.05,Cash,South,2024-01-30,Tuesday,Evening,Yes,No
23,1070,56,Male,118501,Grocery,Cheese,1,471.09,471.09,Cash,South,2024-10-23,Wednesday,Evening,Yes,Yes
24,1083,44,Female,64179,Grocery,Eggs,2,136.48,272.96,Credit Card,East,2024-08-22,Thursday,Afternoon,Yes,No
25,1469,57,Male,39602,Sports,Football,5,136.27,681.35,Debit Card,North,2024-05-05,Sunday,Afternoon,No,Yes
26,1161,46,Female,110173,Sports,Football,5,153.19,765.95,Cash,North,2024-03-09,Saturday,Afternoon,Yes,No
27,1760,53,Male,65697,Clothing,Jacket,2,360.22,720.44,Credit Card,East,2024-09-15,Sunday,Afternoon,No,Yes
28,1927,21,Male,113136,Home,Table,1,6.76,6.76,Credit Card,East,2024-03-23,Saturday,Evening,No,Yes
29,1722,45,Male,44663,Electronics,Phone,5,22.83,114.15,Debit Card,South,2024-08-08,Thursday,Morning,Yes,No
30,1373,68,Male,76898,Grocery,Bread,1,180.07,180.07,Cash,West,2024-11-13,Wednesday,Evening,Yes,No
31,1885,28,Male,84040,Electronics,Phone,3,392.28,1176.84,Debit Card,South,2024-05-16,Thursday,Morning,Yes,No
32,1893,20,Female,59154,Grocery,Cheese,3,156.07,468.21,Credit Card,South,2024-01-13,Saturday,Evening,Yes,No
33,1336,35,Male,66585,Clothing,Jacket,5,202.84,1014.2,Cash,East,2024-01-15,Monday,Morning,No,Yes
34,1182,55,Female,35014,Electronics,Tablet,3,365.63,1096.89,Debit Card,West,2024-11-06,Wednesday,Evening,Yes,No
35,1921,54,Male,63386,Electronics,Tablet,1,262.36,262.36,Cash,South,2024-07-05,Friday,Afternoon,Yes,Yes
36,1942,39,Female,116951,Electronics,Headphones,5,158.1,790.5,Debit Card,East,2024-07-25,Thursday,Evening,No,Yes
37,1567,26,Male,85108,Home,Lamp,2,309.68,619.36,Debit Card,West,2024-10-07,Monday,Morning,No,Yes
38,1293,31,Female,106019,Sports,Tennis Racket,3,235.17,705.51,Debit Card,South,2024-09-18,Wednesday,Afternoon,Yes,Yes
39,1086,36,Female,42240,Grocery,Eggs,2,404.25,808.5,Credit Card,North,2024-01-24,Wednesday,Morning,No,Yes
40,1625,67,Male,89692,Home,Lamp,5,101.25,506.25,Cash,West,2024-09-10,Tuesday,Afternoon,Yes,No
41,1671,62,Male,43970,Home,Chair,2,403.03,806.06,Cash,West,2024-01-26,Friday,Evening,Yes,No
42,1467,26,Female,117500,Sports,Tennis Racket,5,162.06,810.3,Debit Card,West,2024-10-07,Monday,Afternoon,Yes,Yes
43,1882,48,Female,63972,Grocery,Eggs,5,244.88,1224.4,Credit Card,East,2024-08-13,Tuesday,Morning,No,Yes
44,1240,35,Female,71904,Sports,Football,2,79.66,159.32,Debit Card,South,2024-12-27,Friday,Morning,Yes,No
45,1417,39,Female,84496,Electronics,Phone,4,197.79,791.16,Cash,North,2024-10-21,Monday,Afternoon,No,Yes
46,1006,40,Female,81116,Home,Lamp,5,400.93,2004.65,Credit Card,West,2024-04-22,Monday,Afternoon,No,Yes
47,1497,19,Female,74057,Home,Lamp,2,421.05,842.1,Credit Card,North,2024-07-20,Saturday,Evening,Yes,No
48,1658,45,Male,90515,Grocery,Milk,3,192.66,577.98,Credit Card,West,2024-06-16,Sunday,Afternoon,No,Yes
49,1284,66,Female,63065,Electronics,Tablet,1,375.77,375.77,Credit Card,East,2024-04-24,Wednesday,Evening,Yes,Yes
50,1041,66,Male,62411,Grocery,Milk,5,80.43,402.15,Credit Card,West,2024-12-08,Sunday,Morning,Yes,No
51,1716,34,Female,51992,Sports,Tennis Racket,1,390.01,390.01,Credit Card,East,2024-02-25,Sunday,Evening,Yes,No
52,1589,61,Female,81990,Grocery,Milk,5,346.85,1734.25,Cash,South,2024-02-22,Thursday,Evening,No,Yes
53,1870,61,Male,104177,Electronics,Headphones,5,217.05,1085.25,Debit Card,North,2024-09-16,Monday,Evening,No,Yes
